Hackathon	Hackathon Slug	Project Title	Project Description	Project Link	Participants Count	Likes	Comments	Gallery URL
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Medic+ Your health in your hands	"Medic+ manages medical records, ensuring user privacy, security, and control over data. It simplifies sharing for telemedicine, second opinions, and preventive studies, with AI-powere"	https://devpost.com/software/medic-7wabqz	1	9	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	FlewPay	"Flew Pay: Conectando a Latinoamérica, un pago a la vez."	https://devpost.com/software/flewpay	1	5	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	"Solid Organic Waste Managment, SOWAMA."	"SOWAMA revolutionizes organic waste management, transforming an environmental problem into an economic and sustainable opportunity. We transform organic waste into value, community and future."	https://devpost.com/software/solid-organic-waste-managment-sowama	1	8	2	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	ContrataChain	"""Transparency in hiring, thanks to blockchain, is inspiring."""	https://devpost.com/software/contratachain-3d1p4s	1	3	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Honduras DAO	"HONDURAS DAO usa blockchain para financiar educación, salud e infraestructura en Honduras, empoderando a la comunidad con transparencia, votación descentralizada y staking para un impacto sostenible."	https://devpost.com/software/honduras-dao	1	1	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	ArbiScan	"ArbiScan: Tu herramienta de confianza para analizar tokens y NFTs en tiempo real. Detecta vulnerabilidades, patrones de fraude y garantiza la seguridad antes de invertir en el mundo blockchain."	https://devpost.com/software/arbiscan	1	6	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	NFTracking	"""NFTracking: Autenticidad y trazabilidad en cada paso."""	https://devpost.com/software/nftracking	1	0	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	EcoToken	"EcoToken is a project to promote sustainability through recycling. By depositing recyclable materials at green points, participants earn a digital reward."	https://devpost.com/software/ecotoken	1	2	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Torogoz-Auth	"TorogozAuth: Títulos inalterables en blockchain, verificación global en segundos y costos bajos. Validamos credenciales y confianza, liderando la nueva era de autenticidad digital."	https://devpost.com/software/torogoz-auth-g5fdnr	1	2	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	TorogozAuth	"Títulos inalterables en blockchain, verificación global en segundos y costos bajos. Validamos credenciales y confianza, liderando la nueva era de autenticidad digital."	https://devpost.com/software/torogozauth	1	6	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Indian Foods and Cuisines and Recipe	It had Cooking Video	https://devpost.com/software/shipping-and-tracking-website-wfo794	1	1	1	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	Universal Shard	"Universal Shard Project: Integramos renta básica, blockchain y gobernanza descentralizada para crear comunidades autosustentables. Transformamos participación en valor y colaboración en progreso."	https://devpost.com/software/universal-shard	1	6	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	NexusHUB	Bridging the Gap Between Aspiring Developers and IT Mentors for Success.	https://devpost.com/software/nexushub-qjha68	1	2	2	https://hackaton-academica-ethereum.devpost.com/project-gallery
Hackaton Académica de Ethereum	hackaton-academica-ethereum	CarbonMint	"Ecología y rentabilidad, uniendo blockchain con sostenibilidad."	https://devpost.com/software/carbonmint	1	6	0	https://hackaton-academica-ethereum.devpost.com/project-gallery
